ID|Fa/Cor|Fa/zDw^2|d_0X|d_0Y|d_1X|d_1Y|s_0X|s_0Y|s_1X|s_1Y|e
1|0.015|0.172|1|0|0.44|1.47|1|1.65|0.72|2.39|0.38
2|0.029|0.345|1|0|0.44|1.40|1|1.57|0.72|2.28|0.40
3|0.058|0.689|1|0|0.44|1.30|1|1.46|0.72|2.11|0.43
4|0.087|1.03|1|0|0.44|1.23|1|1.38|0.72|2.00|0.46
5|0.12|1.38|1|0|0.44|1.19|1|1.34|0.72|1.93|0.47
6|0.17|2.07|1|0|0.44|1.12|1|1.26|0.72|1.82|0.50
7|0.29|3.45|1|0|0.44|1.02|1|1.14|0.72|1.66|0.55
8|0.44|5.17|1|0|0.44|1.00|1|1.12|0.72|1.63|0.56
9|0.58|6.89|1|0|0.44|1.00|1|1.12|0.72|1.63|0.56
