ID|BCode|d|DD|B|Cr|Cor|nlimz|nlimy
245|16052|260|400|44|235|310|1100|1500
246|6052|260|400|65|292|372|1100|1500
247|61856|280|350|33|135|178|1200|1600
248|61956|280|380|46|210|268|1100|1400
249|6056|280|420|65|305|408|950|1300
250|61860|300|380|38|162|222|1100|1400
251|61960|300|420|56|270|370|1000|1300
252|61864|320|400|38|168|235|1000|1300
253|61964|320|440|56|275|392|950|1200
254|6064|320|480|74|345|510|900|1100
255|61968|340|460|56|292|418|900|1100
256|6072|360|540|82|400|622|750|950
257|61876|380|480|46|235|348|800|1000
258|6080|400|600|90|512|868|630|800
259|61892|460|580|56|322|538|600|750
260|619/500|500|670|78|445|808|500|630
261|60/500|500|720|100|625|1178|450|560
