ID|Fa/Cor|Fa/zDw^2|d_0X|d_0Y|d_1X|d_1Y|s_0X|s_0Y|s_1X|s_1Y|e
1|0.014|0.172|1|0|0.46|1.88|1|2.18|0.75|3.06|0.29
2|0.029|0.345|1|0|0.46|1.71|1|1.98|0.75|2.78|0.32
3|0.057|0.689|1|0|0.46|1.52|1|1.76|0.75|2.47|0.36
4|0.086|1.03|1|0|0.46|1.41|1|1.63|0.75|2.29|0.38
5|0.11|1.38|1|0|0.46|1.34|1|1.55|0.75|2.18|0.40
6|0.17|2.07|1|0|0.46|1.23|1|1.42|0.75|2.00|0.44
7|0.29|3.45|1|0|0.46|1.10|1|1.27|0.75|1.79|0.49
8|0.43|5.17|1|0|0.46|1.01|1|1.17|0.75|1.64|0.54
9|0.57|6.89|1|0|0.46|1.00|1|1.16|0.75|1.63|0.54
