1,4,1,4,1.0,1.4,4,3.9,0.4
4,5,4,6,1.5,2.6,7,6.8,0.72
5,6,6,8,2.0,2.6,7,6.8,0.97
6,7,8,10,2.0,3.7,10,9.7,0.95
7,8,10,12,2.5,3.7,10,9.7,1.2
8,10,12,15,3.0,5.0,13,12.7,1.43
10,12,15,18,3.0,6.5,16,15.7,1.4
12,14,18,20,4.0,6.5,16,15.7,1.8
14,16,20,22,4.0,7.5,19,18.6,1.75
16,18,22,25,5.0,6.5,16,15.7,2.35
18,20,25,28,5.0,7.5,19,18.6,2.32
20,22,28,32,5.0,9.0,22,21.6,2.29
22,25,32,36,6.0,9.0,22,21.6,2.87
25,28,36,40,6.0,10,25,24.5,2.83
28,32,40,40,8.0,11,28,27.4,3.51
32,38,40,40,10,13,32,31.4,3.67
